1728238019
0xfbc7 0xfb17 0xfab4 0xfa60 0xf9f6 0xf993 0xf975 0xf959 0xf947 0xf979 0xf9c0 0xfa2c 0xfa76 0xfac3 0xfb77 0xfd10 
0xfb75 0xfafc 0xfa83 0xfa00 0xf99a 0xf926 0xf90e 0xf8b5 0xf8c8 0xf8f8 0xf957 0xf9b3 0xfa1b 0xfa7f 0xfb08 0xfc01 
0xfb26 0xfa81 0xf9e4 0xf983 0xf8dc 0xf881 0xf85e 0xf82a 0xf80f 0xf853 0xf8ab 0xf916 0xf997 0xfa08 0xfaa6 0xfb38 
0xfaec 0xfa52 0xf9c5 0xf92a 0xf8ab 0xf820 0xf7ff 0xf7c3 0xf7b6 0xf7f8 0xf853 0xf8d6 0xf93e 0xf9fd 0xfa83 0xfb2d 
0xfaaa 0xfa00 0xf96f 0xf8c2 0xf828 0xf7b7 0xf77d 0xf776 0xf756 0xf788 0xf7f7 0xf86e 0xf8f6 0xf9a0 0xfa44 0xfaea 
0xfaad 0xf9f5 0xf964 0xf8b8 0xf817 0xf7b7 0xf772 0xf747 0xf753 0xf761 0xf7f2 0xf858 0xf8e0 0xf98d 0xfa35 0xfae7 
0xfa79 0xf9d0 0xf93f 0xf8bb 0xf80c 0xf78d 0xf754 0xf721 0xf71b 0xf753 0xf7ef 0xf850 0xf8c4 0xf973 0xfa26 0xfad9 
0xfa9b 0xf9f2 0xf977 0xf8e9 0xf848 0xf7c8 0xf791 0xf788 0xf770 0xf7a4 0xf836 0xf88a 0xf8ed 0xf9a5 0xfa72 0xfb08 
0xfa94 0xfa05 0xf979 0xf8f0 0xf849 0xf7c4 0xf7b8 0xf794 0xf788 0xf7e9 0xf830 0xf8af 0xf927 0xf9bb 0xfa77 0xfb1d 
0xfae2 0xfa4f 0xf9d1 0xf954 0xf8d9 0xf864 0xf83e 0xf814 0xf809 0xf84f 0xf8b9 0xf924 0xf995 0xfa26 0xfae8 0xfb63 
0xfae2 0xfa6a 0xf9fb 0xf990 0xf92e 0xf8b9 0xf8b6 0xf88a 0xf882 0xf894 0xf90e 0xf95b 0xf9e9 0xfa5f 0xfafe 0xfbb4 
0xfb21 0xfa93 0xfa5d 0xf9d3 0xf97c 0xf934 0xf931 0xf8ef 0xf91a 0xf918 0xf999 0xf9e5 0xfa63 0xfad2 0xfb82 0xfca2 
0x4f4d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd86 0xf577 0x1d0d 0xd75b 0xfff0 0xfff2 0x0000 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x061d 0x1877 0x1877 0x1877 0x1877 0x1876 0x1876 0x1876 0xfd82 0xccf5 0xced9 0xd7e9 0xfff1 0xffee 0x0002 0x0002 
