1728238019
0xfbd5 0xfb51 0xfae6 0xfab7 0xfa3e 0xfa00 0xf9c9 0xf9c5 0xf9be 0xf9d1 0xfa13 0xfa52 0xfac9 0xfc58 0xfcff 0xfd79 
0xfb9f 0xfb34 0xfabf 0xfa56 0xf9d7 0xf98a 0xf96f 0xf94d 0xf93b 0xf95d 0xf9ab 0xf9ff 0xfabe 0xfc7f 0xfd1e 0xfd66 
0xfb39 0xfaba 0xfa5d 0xf9ff 0xf964 0xf908 0xf8d8 0xf8c4 0xf8c2 0xf8f5 0xf945 0xf9a0 0xfac3 0xfc6c 0xfd12 0xfd6c 
0xfb3c 0xfab0 0xfa35 0xf9c8 0xf91e 0xf8b3 0xf89c 0xf886 0xf881 0xf8a0 0xf900 0xf97d 0xfb09 0xfc8b 0xfd2d 0xfd7f 
0xfb06 0xfa69 0xf9f9 0xf979 0xf8dd 0xf889 0xf848 0xf83a 0xf823 0xf862 0xf8b8 0xf931 0xfb3a 0xfc77 0xfd0f 0xfd7d 
0xfaf3 0xfa68 0xf9e4 0xf964 0xf8c7 0xf873 0xf84c 0xf834 0xf81b 0xf863 0xf8d9 0xf956 0xfb92 0xfcbe 0xfd3f 0xfd7d 
0xfae6 0xfa4c 0xf9d0 0xf94a 0xf8bd 0xf84c 0xf81f 0xf815 0xf82b 0xf864 0xf8da 0xf991 0xfbd6 0xfcb8 0xfd2f 0xfd91 
0xfaff 0xfa70 0xf9f5 0xf970 0xf8f1 0xf890 0xf86c 0xf858 0xf853 0xf88b 0xf8e1 0xfa02 0xfc1a 0xfce3 0xfd6d 0xfd77 
0xfb13 0xfa81 0xfa13 0xf9a5 0xf917 0xf8c3 0xf8ad 0xf886 0xf89a 0xf8bc 0xf949 0xfadf 0xfc57 0xfcca 0xfd50 0xfd72 
0xfb3a 0xfac5 0xfa5b 0xf9fe 0xf97a 0xf943 0xf91c 0xf900 0xf90e 0xf944 0xf9e4 0xfb7e 0xfc7b 0xfcf4 0xfd50 0xfd76 
0xfb63 0xfaf0 0xfa90 0xfa39 0xf9db 0xf98a 0xf969 0xf951 0xf95b 0xf9b7 0xfa51 0xfbaa 0xfc8c 0xfccb 0xfd20 0xfd7c 
0xfc23 0xfb13 0xfadf 0xfa75 0xfa34 0xf9ea 0xf9d6 0xf9d7 0xf9e2 0xfa47 0xfaae 0xfbd7 0xfc80 0xfcd9 0xfd50 0xfdea 
0x519e 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd57 0xf594 0x1f4a 0xd949 0xfffb 0xfff8 0x0002 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05aa 0x16a9 0x16a9 0x16a9 0x16a9 0x16a9 0x16a9 0x16a9 0xfd54 0xce22 0xd0ec 0xd8eb 0xfffd 0xfffa 0x0003 0x0006 
