1728238019
0xfbf6 0xfbfa 0xfbd7 0xfbb1 0xfb5d 0xfb3a 0xfb25 0xfafb 0xfb03 0xfb0f 0xfb69 0xfba9 0xfbd6 0xfbed 0xfc60 0xfd10 
0xfc52 0xfc4c 0xfbe4 0xfb7d 0xfb2d 0xfae5 0xfac4 0xfab0 0xfaaa 0xfabf 0xfafa 0xfb51 0xfba1 0xfbd4 0xfc52 0xfcd6 
0xfc53 0xfc2b 0xfbc1 0xfb1e 0xfae2 0xfa6f 0xfa58 0xfa47 0xfa42 0xfa45 0xfa93 0xfb1a 0xfb29 0xfb7b 0xfc0b 0xfca0 
0xfc70 0xfc19 0xfbbc 0xfb20 0xfa90 0xfa66 0xfa2a 0xf9e0 0xfa2b 0xfa43 0xfa93 0xfacb 0xfb03 0xfb5f 0xfc09 0xfcb2 
0xfc47 0xfbef 0xfba5 0xfb2a 0xfa5c 0xfa0e 0xf9d4 0xf9b4 0xf9d9 0xfa23 0xfa47 0xfa5d 0xfa9a 0xfb0c 0xfbac 0xfc55 
0xfc45 0xfbf8 0xfbc3 0xfb4e 0xfa4a 0xf9da 0xf9d5 0xf99d 0xf990 0xfa39 0xfa72 0xfaa9 0xfad4 0xfb26 0xfbaf 0xfc3d 
0xfc09 0xfbb9 0xfba2 0xfb4d 0xfa7e 0xf9c6 0xf991 0xf9db 0xf97f 0xf99f 0xfa4b 0xfa86 0xfadb 0xfb4a 0xfbb9 0xfc4a 
0xfc15 0xfbd4 0xfbc9 0xfb93 0xfaf5 0xfa4f 0xf9f8 0xf9b4 0xf9dd 0xf9d1 0xf9e7 0xfa5e 0xfad7 0xfb63 0xfbd8 0xfc5a 
0xfbc3 0xfbc6 0xfbaf 0xfb93 0xfb3a 0xfaeb 0xfa36 0xf9db 0xf9ef 0xfa25 0xfa31 0xfa74 0xfac1 0xfb52 0xfbcc 0xfc72 
0xfb8e 0xfbec 0xfbd3 0xfbaa 0xfb93 0xfb47 0xfacc 0xfa65 0xfa32 0xfa85 0xfacb 0xfaf7 0xfb28 0xfb96 0xfc07 0xfca2 
0xfb72 0xfb92 0xfbba 0xfbbe 0xfb8f 0xfb7b 0xfb57 0xfb17 0xfaaa 0xfac3 0xfb38 0xfb4b 0xfb71 0xfbd6 0xfc24 0xfd1f 
0xfc3b 0xfb3c 0xfba9 0xfba6 0xfbb3 0xfb8c 0xfb9e 0xfb6e 0xfb67 0xfb77 0xfbbd 0xfbbc 0xfbd4 0xfc1c 0xfcb6 0xfdb6 
0x4fe9 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd91 0xf566 0x1d51 0xd783 0xfff5 0xfff5 0x0000 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0661 0x1987 0x1987 0x1987 0x1987 0x1986 0x1986 0x1986 0xfd8e 0xcbe7 0xce56 0xd70d 0xfff6 0xfff3 0x0003 0x0007 
