1728238049
0xfbcf 0xfb21 0xfac2 0xfa70 0xfa07 0xf9a6 0xf988 0xf969 0xf958 0xf98c 0xf9d0 0xfa3c 0xfa85 0xfad0 0xfb81 0xfd17 
0xfb81 0xfb09 0xfa90 0xfa10 0xf9af 0xf93c 0xf920 0xf8ca 0xf8db 0xf90b 0xf967 0xf9c2 0xfa2a 0xfa8c 0xfb14 0xfc09 
0xfb2f 0xfa90 0xf9f6 0xf991 0xf8f0 0xf894 0xf876 0xf842 0xf829 0xf869 0xf8c0 0xf92b 0xf9a8 0xfa1b 0xfab3 0xfb42 
0xfafa 0xfa62 0xf9d6 0xf93d 0xf8bc 0xf835 0xf816 0xf7da 0xf7ce 0xf810 0xf869 0xf8e8 0xf950 0xfa0e 0xfa93 0xfb37 
0xfab8 0xfa0f 0xf982 0xf8da 0xf83e 0xf7ce 0xf795 0xf78f 0xf76f 0xf7a2 0xf80e 0xf882 0xf909 0xf9b1 0xfa51 0xfaf9 
0xfaba 0xfa04 0xf973 0xf8cb 0xf830 0xf7d0 0xf78c 0xf75f 0xf76c 0xf77a 0xf808 0xf86a 0xf8f4 0xf9a0 0xfa44 0xfaf5 
0xfa86 0xf9e1 0xf953 0xf8d0 0xf821 0xf7a5 0xf76c 0xf737 0xf735 0xf76b 0xf806 0xf865 0xf8d6 0xf987 0xfa35 0xfae6 
0xfaa6 0xfa02 0xf988 0xf8fb 0xf85f 0xf7e1 0xf7a8 0xf79f 0xf78b 0xf7bd 0xf84e 0xf89e 0xf902 0xf9b8 0xfa81 0xfb15 
0xfaa1 0xfa15 0xf989 0xf901 0xf85f 0xf7dd 0xf7d2 0xf7a9 0xf79e 0xf7fe 0xf847 0xf8c0 0xf939 0xf9cb 0xfa83 0xfb28 
0xfaec 0xfa5e 0xf9e1 0xf968 0xf8ea 0xf87a 0xf854 0xf829 0xf81e 0xf865 0xf8cc 0xf935 0xf9a4 0xfa38 0xfaf5 0xfb6d 
0xfaec 0xfa77 0xfa09 0xf99f 0xf941 0xf8d0 0xf8c8 0xf89e 0xf897 0xf8a9 0xf922 0xf96d 0xf9f7 0xfa6d 0xfb0c 0xfbbd 
0xfb28 0xfaa1 0xfa69 0xf9e2 0xf98d 0xf947 0xf944 0xf901 0xf92f 0xf92a 0xf9a8 0xf9f2 0xfa70 0xfae1 0xfb8a 0xfca9 
0x4f93 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd85 0xf57a 0x1d2a 0xd75b 0xffed 0xfff4 0xfffe 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0617 0x185e 0x185e 0x185e 0x185e 0x185d 0x185d 0x185d 0xfd84 0xccf4 0xcedc 0xd7ea 0xffef 0xffef 0x0001 0x0003 
