1728238049
0xfbdc 0xfb55 0xfaed 0xfabd 0xfa47 0xfa0a 0xf9d4 0xf9d0 0xf9ca 0xfa05 0xfbef 0xfcba 0xfd10 0xfd4e 0xfd88 0xfdb2 
0xfba1 0xfb3a 0xfac7 0xfa5e 0xf9de 0xf994 0xf977 0xf958 0xf948 0xf99f 0xfbcc 0xfcb2 0xfd0b 0xfd68 0xfd96 0xfd79 
0xfb3e 0xfac4 0xfa64 0xfa09 0xf96e 0xf910 0xf8e5 0xf8d2 0xf8cf 0xf94a 0xfb98 0xfc90 0xfd00 0xfd3b 0xfd80 0xfd63 
0xfb42 0xfab8 0xfa3c 0xf9d4 0xf92a 0xf8be 0xf8aa 0xf88f 0xf890 0xf8fb 0xfbab 0xfc88 0xfd00 0xfd51 0xfd98 0xfd63 
0xfb09 0xfa6d 0xfa02 0xf984 0xf8e8 0xf897 0xf857 0xf84a 0xf833 0xf8bb 0xfb8c 0xfc62 0xfcf2 0xfd33 0xfd5f 0xfd6a 
0xfaf8 0xfa71 0xf9eb 0xf96e 0xf8d4 0xf883 0xf85a 0xf844 0xf82a 0xf8b7 0xfb8e 0xfc57 0xfcb2 0xfd3a 0xfd5d 0xfd52 
0xfaec 0xfa54 0xf9d8 0xf956 0xf8cc 0xf85b 0xf82a 0xf823 0xf83b 0xf8ac 0xfb72 0xfc4a 0xfc93 0xfced 0xfd26 0xfd41 
0xfb05 0xfa7a 0xf9ff 0xf97c 0xf8fc 0xf8a1 0xf87a 0xf864 0xf863 0xf8c3 0xfb59 0xfc45 0xfc97 0xfce3 0xfcfb 0xfd32 
0xfb18 0xfa88 0xfa18 0xf9b1 0xf922 0xf8d1 0xf8b6 0xf894 0xf8ab 0xf8e2 0xfb2c 0xfc41 0xfc96 0xfc8f 0xfcf0 0xfd3c 
0xfb40 0xfacd 0xfa65 0xfa08 0xf981 0xf951 0xf926 0xf90c 0xf91a 0xf95f 0xfb56 0xfc18 0xfc84 0xfcbd 0xfcff 0xfd64 
0xfb6d 0xfaf8 0xfa99 0xfa41 0xf9e5 0xf996 0xf971 0xf95b 0xf968 0xf9c7 0xfb52 0xfbd9 0xfc64 0xfcad 0xfd05 0xfd78 
0xfc2a 0xfb1a 0xfae7 0xfa80 0xfa3f 0xf9f4 0xf9dd 0xf9dc 0xf9ee 0xfa57 0xfb4f 0xfc42 0xfca6 0xfcff 0xfd75 0xfde9 
0x51a7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd5c 0xf594 0x1f50 0xd949 0xfffc 0xfffc 0x0003 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a9 0x16a5 0x16a5 0x16a5 0x16a5 0x16a5 0x16a5 0x16a5 0xfd59 0xce23 0xd0ec 0xd8ec 0xffff 0xfff8 0x0005 0x0007 
