1728238049
0xfbf5 0xfa3b 0xf99d 0xf7e6 0xf71d 0xf696 0xf662 0xf613 0xf639 0xf63b 0xf6b9 0xf720 0xf7ba 0xf84e 0xf944 0xfa04 
0xfae1 0xf9ea 0xf8f0 0xf72d 0xf661 0xf5b3 0xf567 0xf528 0xf509 0xf568 0xf60e 0xf67b 0xf72f 0xf7ca 0xf8bc 0xf981 
0xfa4b 0xf951 0xf847 0xf66a 0xf594 0xf4df 0xf46b 0xf45b 0xf436 0xf47c 0xf512 0xf5bd 0xf65c 0xf732 0xf859 0xf918 
0xfa20 0xf925 0xf7cf 0xf5f4 0xf4ea 0xf432 0xf3c9 0xf397 0xf389 0xf3e1 0xf491 0xf52a 0xf5d9 0xf6ab 0xf7e3 0xf8d5 
0xf9c2 0xf8a2 0xf751 0xf571 0xf46d 0xf3a1 0xf34a 0xf338 0xf30d 0xf37a 0xf413 0xf4a9 0xf549 0xf653 0xf796 0xf890 
0xf9a2 0xf8b2 0xf730 0xf549 0xf434 0xf384 0xf34a 0xf2ef 0xf2dd 0xf341 0xf3e3 0xf461 0xf53a 0xf636 0xf771 0xf8b1 
0xf99b 0xf885 0xf703 0xf51e 0xf419 0xf34f 0xf319 0xf301 0xf2af 0xf300 0xf39a 0xf459 0xf540 0xf627 0xf791 0xf879 
0xf9c1 0xf8bb 0xf732 0xf553 0xf464 0xf3c5 0xf3b8 0xf343 0xf318 0xf37a 0xf414 0xf4af 0xf56b 0xf675 0xf798 0xf8c5 
0xf9c8 0xf8e5 0xf735 0xf5af 0xf4d3 0xf403 0xf39e 0xf39c 0xf3bb 0xf3be 0xf456 0xf533 0xf5d5 0xf6a0 0xf806 0xf8e3 
0xfa0a 0xf943 0xf7a4 0xf636 0xf55d 0xf4cb 0xf4b8 0xf440 0xf48a 0xf492 0xf50f 0xf5d8 0xf670 0xf74e 0xf865 0xf957 
0xfa37 0xf95e 0xf7fc 0xf6d4 0xf620 0xf56f 0xf572 0xf50e 0xf541 0xf543 0xf5b2 0xf638 0xf713 0xf7c9 0xf8d1 0xf9ae 
0xfafc 0xf98d 0xf876 0xf717 0xf693 0xf621 0xf61b 0xf5fa 0xf5f6 0xf627 0xf6b1 0xf722 0xf7c9 0xf878 0xf959 0xfa1e 
0x472a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd2c 0xf4a8 0x1afd 0xd7cb 0xffde 0xffe4 0xfffb 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0711 0x1c44 0x1c44 0x1c44 0x1c44 0x1c42 0x1c42 0x1c42 0xfd2a 0xccdf 0xcf34 0xd712 0xffdf 0xffe1 0x0000 0x0000 
