1728238079
0xfc07 0xfa62 0xf9db 0xf854 0xf73e 0xf6bc 0xf686 0xf638 0xf65b 0xf65d 0xf6db 0xf743 0xf7d7 0xf86d 0xf95c 0xfa1e 
0xfae7 0xfa10 0xf93f 0xf77a 0xf687 0xf5d8 0xf58c 0xf551 0xf534 0xf592 0xf633 0xf69e 0xf752 0xf7eb 0xf8d7 0xf99c 
0xfa5b 0xf97e 0xf88f 0xf6a0 0xf5bb 0xf50b 0xf495 0xf486 0xf460 0xf4a4 0xf539 0xf5e2 0xf67e 0xf755 0xf876 0xf933 
0xfa4b 0xf92b 0xf81e 0xf61d 0xf515 0xf45b 0xf3f6 0xf3c5 0xf3b8 0xf40e 0xf4bc 0xf551 0xf600 0xf6cd 0xf805 0xf8f0 
0xf9ea 0xf8c0 0xf794 0xf599 0xf496 0xf3ce 0xf378 0xf366 0xf33d 0xf3a9 0xf43f 0xf4d5 0xf573 0xf676 0xf7b6 0xf8ae 
0xf9ca 0xf8e8 0xf759 0xf56c 0xf45f 0xf3b2 0xf375 0xf320 0xf30e 0xf36f 0xf411 0xf48f 0xf561 0xf65a 0xf792 0xf8cd 
0xf9c3 0xf8b9 0xf6f3 0xf546 0xf445 0xf37f 0xf345 0xf330 0xf2de 0xf32f 0xf3ca 0xf486 0xf569 0xf64b 0xf7af 0xf897 
0xf9e0 0xf8fe 0xf700 0xf578 0xf48f 0xf3f1 0xf3e3 0xf371 0xf347 0xf3a8 0xf440 0xf4dc 0xf595 0xf69a 0xf7b7 0xf8e3 
0xf9f8 0xf8e8 0xf704 0xf5d5 0xf4f9 0xf431 0xf3ca 0xf3c8 0xf3e8 0xf3ea 0xf480 0xf55e 0xf5fa 0xf6c4 0xf823 0xf902 
0xfa33 0xf939 0xf75e 0xf656 0xf583 0xf4f5 0xf4df 0xf469 0xf4b1 0xf4bb 0xf538 0xf5fe 0xf695 0xf771 0xf881 0xf971 
0xfa4b 0xf94b 0xf7bf 0xf6f5 0xf641 0xf595 0xf598 0xf535 0xf563 0xf569 0xf5d5 0xf660 0xf735 0xf7eb 0xf8ed 0xf9c9 
0xfb01 0xf97f 0xf825 0xf734 0xf6b0 0xf646 0xf63c 0xf61f 0xf61c 0xf64b 0xf6d3 0xf742 0xf7e7 0xf897 0xf973 0xfa38 
0x4777 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd3f 0xf4a9 0x1b16 0xd7cb 0xffdf 0xffe2 0xfffb 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0709 0x1c27 0x1c27 0x1c27 0x1c27 0x1c25 0x1c25 0x1c25 0xfd3b 0xccdb 0xcf35 0xd713 0xffe1 0xffe1 0xffff 0xffff 
