1728238139
0xfc4d 0xfc13 0xfbb6 0xfb73 0xfaf4 0xfadd 0xfad5 0xfab7 0xfa8e 0xfaa0 0xfb5a 0xfbd0 0xfc15 0xfc61 0xfcca 0xfd34 
0xfc70 0xfc34 0xfba4 0xfb68 0xfadf 0xfa95 0xfa81 0xfa51 0xfa32 0xfa59 0xfb13 0xfb67 0xfbe9 0xfc63 0xfcc1 0xfcfe 
0xfc3f 0xfc16 0xfba1 0xfb2f 0xfab5 0xfa37 0xfa45 0xfa15 0xf9d3 0xf9d3 0xfa8d 0xfb27 0xfb66 0xfbff 0xfc8d 0xfcd8 
0xfc46 0xfc06 0xfbc2 0xfb6f 0xfac3 0xfa25 0xf9e6 0xfa06 0xf9c9 0xf9c4 0xfa47 0xfad8 0xfb49 0xfbd3 0xfc7b 0xfce2 
0xfc10 0xfbd7 0xfb8d 0xfb5b 0xfabe 0xfa3e 0xf99e 0xf9cb 0xf9bf 0xf9ba 0xf9f5 0xfa5c 0xfae6 0xfb85 0xfc36 0xfca4 
0xfbf2 0xfbd1 0xfb8b 0xfb36 0xfaa1 0xfa47 0xf9eb 0xf96f 0xf9ce 0xf999 0xf9f3 0xfa51 0xfaf1 0xfb8a 0xfc2b 0xfca5 
0xfb79 0xfb98 0xfb68 0xfb0b 0xfa84 0xfa0b 0xf9d2 0xf981 0xf99b 0xf9d0 0xfa16 0xfa54 0xfadb 0xfb56 0xfc06 0xfc95 
0xfb26 0xfb92 0xfb77 0xfb42 0xfa91 0xfa50 0xfa1d 0xfa1a 0xf9b0 0xfa38 0xfa40 0xfa78 0xfaea 0xfb66 0xfc1a 0xfc99 
0xfacd 0xfb12 0xfb30 0xfb18 0xfaac 0xfab0 0xfa26 0xfa5b 0xfa59 0xfa3b 0xfa45 0xfa69 0xfac3 0xfb5e 0xfc01 0xfca3 
0xfae9 0xfab7 0xfb19 0xfb1b 0xfaf7 0xfaca 0xfaa5 0xfaaf 0xfaaa 0xfaa6 0xfa98 0xfaa5 0xfb08 0xfb7a 0xfc24 0xfcbb 
0xfb0a 0xfa89 0xfa77 0xfaea 0xfb0b 0xfae6 0xfad7 0xfad1 0xfa70 0xfa96 0xface 0xfad5 0xfb0f 0xfba2 0xfc3a 0xfd23 
0xfbf0 0xfaaf 0xfa7c 0xfa41 0xfab5 0xfae1 0xfb0b 0xfae5 0xfacd 0xfaad 0xfb18 0xfb2d 0xfb88 0xfbed 0xfc9d 0xfdbd 
0x4f56 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda0 0xf55e 0x1d19 0xd782 0xfff3 0xfff5 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x066f 0x19bd 0x19bd 0x19bd 0x19bd 0x19bc 0x19bc 0x19bc 0xfd9d 0xcbeb 0xce57 0xd70e 0xfff7 0xfff2 0x0003 0x0005 
