1728238169
0xfbf3 0xfb4c 0xfaf2 0xfaa6 0xfa3d 0xf9e4 0xf9c7 0xf9a9 0xf999 0xf9cb 0xfa0e 0xfa74 0xfab9 0xfb01 0xfba9 0xfd26 
0xfba9 0xfb39 0xfac3 0xfa49 0xf9ed 0xf97e 0xf969 0xf914 0xf928 0xf953 0xf9ae 0xfa04 0xfa63 0xfac3 0xfb43 0xfc2c 
0xfb5b 0xfabe 0xfa2e 0xf9d2 0xf937 0xf8df 0xf8c3 0xf891 0xf878 0xf8b7 0xf909 0xf970 0xf9e5 0xfa52 0xfae5 0xfb6d 
0xfb28 0xfa97 0xfa10 0xf980 0xf908 0xf884 0xf869 0xf831 0xf825 0xf866 0xf8b7 0xf934 0xf994 0xfa48 0xfac8 0xfb66 
0xfae8 0xfa49 0xf9c1 0xf924 0xf88e 0xf820 0xf7f0 0xf7e9 0xf7cb 0xf7f9 0xf861 0xf8d2 0xf94f 0xf9f2 0xfa88 0xfb27 
0xfaec 0xfa3e 0xf9b5 0xf914 0xf881 0xf824 0xf7e5 0xf7bd 0xf7c9 0xf7d4 0xf85f 0xf8b8 0xf93e 0xf9e0 0xfa7c 0xfb24 
0xfab8 0xfa1d 0xf994 0xf91b 0xf873 0xf7fc 0xf7c9 0xf797 0xf792 0xf7c5 0xf857 0xf8b5 0xf921 0xf9c6 0xfa6c 0xfb16 
0xfad9 0xfa39 0xf9c8 0xf944 0xf8ad 0xf835 0xf802 0xf7f9 0xf7e4 0xf816 0xf8a2 0xf8ed 0xf94b 0xf9fa 0xfab8 0xfb42 
0xfad4 0xfa4b 0xf9ca 0xf94a 0xf8ab 0xf830 0xf825 0xf7ff 0xf7f6 0xf855 0xf896 0xf90b 0xf97d 0xfa08 0xfabc 0xfb53 
0xfb19 0xfa8d 0xfa1a 0xf9a9 0xf92f 0xf8c6 0xf8a4 0xf87b 0xf872 0xf8b0 0xf916 0xf97d 0xf9e5 0xfa6d 0xfb27 0xfb98 
0xfb15 0xfaaa 0xfa41 0xf9db 0xf983 0xf914 0xf910 0xf8e9 0xf8e1 0xf8f0 0xf965 0xf9ac 0xfa33 0xfaa1 0xfb37 0xfbe4 
0xfb51 0xfacf 0xfa9c 0xfa1c 0xf9c9 0xf987 0xf983 0xf944 0xf96e 0xf96b 0xf9e5 0xfa2d 0xfaa3 0xfb0e 0xfbb2 0xfcbe 
0x5084 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8b 0xf586 0x1d8e 0xd760 0xfff1 0xfff2 0x0000 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ff 0x17fd 0x17fd 0x17fd 0x17fd 0x17fc 0x17fc 0x17fc 0xfd89 0xcced 0xcedb 0xd7eb 0xfff5 0xfff0 0x0003 0x0006 
