1728238199
0xfbe9 0xf9a6 0xf921 0xf860 0xf7b6 0xf73d 0xf706 0xf6bf 0xf6e1 0xf6e3 0xf756 0xf7bc 0xf84b 0xf8d8 0xf9be 0xfa74 
0xfbdf 0xf946 0xf87f 0xf7bf 0xf707 0xf663 0xf61a 0xf5e1 0xf5c6 0xf622 0xf6bb 0xf723 0xf7cb 0xf85e 0xf93f 0xf9fb 
0xfe1b 0xf8c7 0xf7ef 0xf711 0xf64e 0xf5a0 0xf530 0xf523 0xf506 0xf544 0xf5cb 0xf66f 0xf704 0xf7cf 0xf8e0 0xf998 
0xfa80 0xf973 0xf845 0xf6dd 0xf5b2 0xf501 0xf49d 0xf470 0xf464 0xf4b4 0xf559 0xf5e5 0xf68d 0xf750 0xf874 0xf959 
0xfa26 0xf93a 0xf8b4 0xf7e2 0xf614 0xf493 0xf42b 0xf415 0xf3f1 0xf457 0xf4e4 0xf56f 0xf606 0xf6fe 0xf82c 0xf91b 
0xfa05 0xf950 0xf89a 0xf7ef 0xf746 0xf635 0xf488 0xf3d6 0xf3c5 0xf425 0xf4b7 0xf52c 0xf5fa 0xf6e7 0xf80b 0xf938 
0xfa09 0xf92d 0xf88b 0xf810 0xf7b2 0xf73e 0xf6bb 0xf4b7 0xf39f 0xf3e6 0xf475 0xf526 0xf5fe 0xf6d4 0xf82a 0xf904 
0xfa1d 0xf961 0xf919 0xf8ac 0xf831 0xf7e6 0xf7d9 0xf710 0xf521 0xf467 0xf4ea 0xf57c 0xf62e 0xf723 0xf833 0xf950 
0xfa2b 0xf9a3 0xf977 0xf921 0xf8a0 0xf821 0xf7dc 0xf7be 0xf765 0xf5dc 0xf53a 0xf5fb 0xf68e 0xf74d 0xf89a 0xf96a 
0xfa80 0xfa32 0xf9cb 0xf989 0xf91d 0xf8d2 0xf8bd 0xf85c 0xf83d 0xf7f8 0xf6f7 0xf6a9 0xf728 0xf7f0 0xf8f4 0xf9d9 
0xfab1 0xfa3b 0xfa19 0xf9f8 0xf9a4 0xf939 0xf93c 0xf8f6 0xf8bb 0xf894 0xf8a5 0xf7b4 0xf7d4 0xf86d 0xf95c 0xfa2c 
0xfb84 0xfa77 0xfa56 0xf9fe 0xf9d6 0xf99b 0xf99c 0xf97c 0xf937 0xf916 0xf951 0xf95d 0xf8c3 0xf925 0xf9e4 0xfa99 
0x4875 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9a 0xf4b3 0x1b76 0xd7cd 0xffe5 0xffe7 0xffff 0xfffd 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06f1 0x1bc7 0x1bc7 0x1bc7 0x1bc7 0x1bc5 0x1bc5 0x1bc5 0xfd95 0xccd5 0xcf34 0xd712 0xffe5 0xffe7 0x0002 0x0000 
