1728238259
0xfc08 0xfb66 0xfb0f 0xfac4 0xfa63 0xfa08 0xf9ee 0xf9d3 0xf9c1 0xf9f2 0xfa33 0xfa98 0xfad6 0xfb1c 0xfbdc 0xfd53 
0xfbc1 0xfb52 0xfae2 0xfa6d 0xfa11 0xf9a7 0xf994 0xf942 0xf953 0xf980 0xf9d5 0xfa27 0xfa87 0xfae1 0xfb71 0xfccc 
0xfb77 0xfae0 0xfa53 0xf9fb 0xf964 0xf90e 0xf8f1 0xf8c2 0xf8a7 0xf8e6 0xf938 0xf998 0xfa0e 0xfa73 0xfb0c 0xfc51 
0xfb43 0xfab8 0xfa37 0xf9ac 0xf936 0xf8b6 0xf89c 0xf864 0xf859 0xf896 0xf8ea 0xf961 0xf9bc 0xfa6e 0xfaed 0xfc32 
0xfb03 0xfa6f 0xf9e8 0xf94d 0xf8be 0xf859 0xf826 0xf81f 0xf800 0xf82d 0xf895 0xf901 0xf97d 0xfa17 0xfaae 0xfc18 
0xfb09 0xfa60 0xf9de 0xf943 0xf8b3 0xf85c 0xf81c 0xf7f2 0xf800 0xf80b 0xf894 0xf8ea 0xf96a 0xfa08 0xfaa2 0xfc09 
0xfad8 0xfa3e 0xf9be 0xf946 0xf8a5 0xf834 0xf7ff 0xf7d1 0xf7cc 0xf7f9 0xf88c 0xf8e7 0xf94c 0xf9ef 0xfa96 0xfc16 
0xfaf6 0xfa5e 0xf9f1 0xf96f 0xf8de 0xf86b 0xf838 0xf82f 0xf81b 0xf84a 0xf8d2 0xf91b 0xf977 0xfa20 0xfae2 0xfc58 
0xfaee 0xfa6c 0xf9f0 0xf975 0xf8db 0xf865 0xf858 0xf834 0xf82c 0xf887 0xf8c7 0xf93c 0xf9a8 0xfa2d 0xfaec 0xfc89 
0xfb36 0xfab0 0xfa3f 0xf9d2 0xf95d 0xf8f5 0xf8d3 0xf8ac 0xf8a4 0xf8e1 0xf945 0xf9a4 0xfa0b 0xfa94 0xfb6a 0xfcc5 
0xfb31 0xfac6 0xfa62 0xfa00 0xf9aa 0xf93f 0xf93c 0xf917 0xf90e 0xf91d 0xf991 0xf9d5 0xfa56 0xfac3 0xfba7 0xfcd7 
0xfb67 0xfaea 0xfaba 0xfa39 0xf9ee 0xf9ad 0xf9aa 0xf96d 0xf996 0xf992 0xfa0a 0xfa4f 0xfac1 0xfb2c 0xfc58 0xfd37 
0x5118 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd99 0xf58d 0x1dcd 0xd761 0xfff3 0xfff4 0x0000 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05f1 0x17c4 0x17c4 0x17c4 0x17c4 0x17c3 0x17c3 0x17c3 0xfd93 0xcce9 0xcedb 0xd7ed 0xfff6 0xfff1 0x0005 0x0008 
