1728238289
0xfb84 0xf973 0xf8fb 0xf842 0xf79e 0xf723 0xf6f6 0xf6ab 0xf6ce 0xf6cc 0xf742 0xf79f 0xf82a 0xf8af 0xf98f 0xfa3a 
0xfa05 0xf908 0xf857 0xf7a2 0xf6f2 0xf653 0xf60f 0xf5d5 0xf5bb 0xf612 0xf6a9 0xf70b 0xf7b4 0xf83b 0xf915 0xf9c7 
0xf95b 0xf868 0xf7ba 0xf6f4 0xf638 0xf595 0xf529 0xf51c 0xf4fc 0xf53c 0xf5c1 0xf660 0xf6ec 0xf7b0 0xf8bc 0xf96a 
0xf924 0xf827 0xf75d 0xf68a 0xf59c 0xf4f5 0xf498 0xf46b 0xf460 0xf4ad 0xf552 0xf5da 0xf678 0xf735 0xf851 0xf92d 
0xf8c9 0xf7a9 0xf6ee 0xf615 0xf52b 0xf475 0xf424 0xf414 0xf3ed 0xf452 0xf4dd 0xf565 0xf5f6 0xf6e6 0xf80b 0xf8f1 
0xf89c 0xf7bf 0xf6d3 0xf5f1 0xf4fb 0xf45b 0xf425 0xf3d3 0xf3c2 0xf41e 0xf4b2 0xf526 0xf5e9 0xf6ce 0xf7eb 0xf910 
0xf92f 0xf789 0xf6b4 0xf5cc 0xf4e1 0xf429 0xf3f5 0xf3e5 0xf396 0xf3e2 0xf46d 0xf51f 0xf5ee 0xf6bb 0xf807 0xf8d8 
0xfa29 0xf8ee 0xf749 0xf600 0xf528 0xf497 0xf48e 0xf421 0xf3f7 0xf455 0xf4de 0xf56d 0xf615 0xf706 0xf80c 0xf920 
0xfa65 0xf98c 0xf8c4 0xf737 0xf5a3 0xf4d0 0xf472 0xf471 0xf48e 0xf495 0xf51a 0xf5e5 0xf671 0xf72c 0xf870 0xf93b 
0xfaa7 0xf9e5 0xf934 0xf880 0xf77a 0xf5f9 0xf579 0xf505 0xf54e 0xf559 0xf5c3 0xf677 0xf6fe 0xf7c9 0xf8c4 0xf99f 
0xfab7 0xf9ff 0xf962 0xf8f7 0xf8ac 0xf7d7 0xf6fa 0xf5e2 0xf5f5 0xf5ef 0xf64f 0xf6ce 0xf793 0xf836 0xf927 0xf9ed 
0xfb49 0xfa05 0xf997 0xf92d 0xf913 0xf8bf 0xf850 0xf7bc 0xf6fd 0xf6c1 0xf737 0xf79c 0xf836 0xf8d5 0xf99e 0xfa4f 
0x497d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfcc7 0xf4bd 0x1bd8 0xd7d1 0xffe4 0xffe6 0xfffe 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06d8 0x1b61 0x1b61 0x1b61 0x1b61 0x1b60 0x1b60 0x1b60 0xfcc3 0xcccd 0xcf35 0xd714 0xffe4 0xffe5 0x0001 0x0000 
