1728238349
0xfc12 0xfb71 0xfb1f 0xfad9 0xfa79 0xfa1f 0xfa0b 0xf9ee 0xf9dc 0xfa0a 0xfa49 0xfaae 0xfaea 0xfb2f 0xfbd0 0xfd37 
0xfbce 0xfb62 0xfaf8 0xfa84 0xfa2c 0xf9c2 0xf9af 0xf95f 0xf972 0xf99c 0xf9f0 0xfa43 0xfa9c 0xfaf6 0xfb71 0xfc4a 
0xfb86 0xfaf1 0xfa6b 0xfa14 0xf980 0xf92d 0xf914 0xf8e5 0xf8cb 0xf908 0xf955 0xf9b7 0xfa24 0xfa89 0xfb16 0xfb96 
0xfb55 0xfacb 0xfa4f 0xf9c7 0xf954 0xf8db 0xf8be 0xf887 0xf87c 0xf8b9 0xf90a 0xf97e 0xf9d6 0xfa84 0xfafc 0xfb92 
0xfb16 0xfa82 0xfa03 0xf969 0xf8df 0xf87a 0xf84b 0xf845 0xf826 0xf84f 0xf8b6 0xf921 0xf997 0xfa31 0xfabf 0xfb56 
0xfb1a 0xfa78 0xf9f8 0xf960 0xf8d3 0xf87d 0xf843 0xf81b 0xf825 0xf830 0xf8b5 0xf90c 0xf988 0xfa22 0xfab5 0xfb53 
0xfaea 0xfa55 0xf9d6 0xf963 0xf8c7 0xf855 0xf825 0xf7f7 0xf7f2 0xf822 0xf8ae 0xf909 0xf96a 0xfa05 0xfaa4 0xfb46 
0xfb07 0xfa74 0xfa09 0xf98c 0xf8fd 0xf88b 0xf85c 0xf854 0xf840 0xf86f 0xf8f4 0xf93c 0xf992 0xfa37 0xfaef 0xfb6f 
0xfb00 0xfa80 0xfa09 0xf990 0xf8fa 0xf884 0xf87d 0xf859 0xf84f 0xf8ab 0xf8e8 0xf95a 0xf9c4 0xfa45 0xfaee 0xfb82 
0xfb45 0xfac2 0xfa58 0xf9ea 0xf979 0xf913 0xf8f3 0xf8cd 0xf8c5 0xf902 0xf961 0xf9be 0xfa24 0xfaa8 0xfb54 0xfbc1 
0xfb41 0xfad7 0xfa78 0xfa1a 0xf9c5 0xf95c 0xf95a 0xf934 0xf92c 0xf93b 0xf9ab 0xf9ee 0xfa6a 0xfad3 0xfb62 0xfc07 
0xfb77 0xfafa 0xfacc 0xfa52 0xfa04 0xf9c8 0xf9c7 0xf989 0xf9b2 0xf9ad 0xfa22 0xfa66 0xfad6 0xfb3b 0xfbd8 0xfcd4 
0x5198 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8a 0xf592 0x1e02 0xd763 0xfff2 0xfff3 0x0003 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05e5 0x1794 0x1794 0x1794 0x1794 0x1793 0x1793 0x1793 0xfd87 0xcce4 0xcedb 0xd7eb 0xfff7 0xfff3 0x0003 0x0008 
