1728238349
0xfbdb 0xfb5a 0xfaf1 0xfac1 0xfa4e 0xfa10 0xf9da 0xf9d4 0xf9ca 0xf9dd 0xfa1d 0xfa59 0xfaad 0xfaf5 0xfba1 0xfcf6 
0xfba3 0xfb3c 0xfacc 0xfa64 0xf9e3 0xf99b 0xf97f 0xf95f 0xf949 0xf968 0xf9ba 0xfa09 0xfa5c 0xfad7 0xfbea 0xfced 
0xfb3f 0xfac3 0xfa6a 0xfa0c 0xf971 0xf916 0xf8e9 0xf8d8 0xf8d2 0xf909 0xf954 0xf9aa 0xf9fb 0xfa85 0xfc26 0xfd10 
0xfb45 0xfabc 0xfa3f 0xf9dc 0xf92d 0xf8c7 0xf8b2 0xf899 0xf894 0xf8b3 0xf90f 0xf985 0xf9e0 0xfaba 0xfc7b 0xfd21 
0xfb0d 0xfa74 0xfa07 0xf98c 0xf8ee 0xf89b 0xf85f 0xf84e 0xf835 0xf872 0xf8cc 0xf932 0xf9b9 0xfb12 0xfc88 0xfd20 
0xfafc 0xfa71 0xf9f0 0xf976 0xf8d8 0xf889 0xf861 0xf84a 0xf82f 0xf876 0xf8eb 0xf93b 0xf9da 0xfbe6 0xfcc0 0xfd3b 
0xfaed 0xfa55 0xf9dd 0xf959 0xf8d2 0xf861 0xf836 0xf82b 0xf83e 0xf876 0xf8ec 0xf93c 0xfa83 0xfc10 0xfcc9 0xfd6e 
0xfb05 0xfa7b 0xfa01 0xf981 0xf903 0xf8a4 0xf880 0xf86e 0xf865 0xf89e 0xf8f1 0xf970 0xfb7d 0xfc6a 0xfd20 0xfd85 
0xfb1a 0xfa8a 0xfa1c 0xf9b5 0xf926 0xf8d5 0xf8bd 0xf89d 0xf8af 0xf8ce 0xf95f 0xfa71 0xfc2c 0xfca7 0xfd3f 0xfd97 
0xfb41 0xfacc 0xfa66 0xfa0d 0xf988 0xf955 0xf92f 0xf912 0xf921 0xf95b 0xf9f6 0xfb8e 0xfcaf 0xfd10 0xfd7a 0xfdbf 
0xfb6b 0xfaf6 0xfa9c 0xfa46 0xf9e8 0xf99a 0xf979 0xf962 0xf96d 0xf9db 0xfaa1 0xfc64 0xfce9 0xfd32 0xfd84 0xfdc8 
0xfc23 0xfb1b 0xfaec 0xfa82 0xfa3f 0xf9f8 0xf9e7 0xf9e4 0xf9fc 0xfa37 0xfbc6 0xfcd2 0xfd13 0xfd5d 0xfdb5 0xfe01 
0x51eb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd4f 0xf598 0x1f6d 0xd94c 0xfffb 0xfff9 0x0003 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a2 0x168b 0x168b 0x168b 0x168b 0x168a 0x168a 0x168a 0xfd4e 0xce20 0xd0ee 0xd8ed 0xfffb 0xfff7 0x0003 0x0006 
