1728238349
0xfafe 0xfaa1 0xfaeb 0xfb12 0xfb08 0xfaff 0xfafc 0xfad9 0xfa94 0xfa46 0xfa34 0xfa81 0xfabd 0xfaf8 0xfb7a 0xfc4f 
0xfad6 0xfaad 0xfac3 0xfaa4 0xfaab 0xfaaf 0xfabc 0xfac7 0xfa7f 0xfa45 0xfa4b 0xfa88 0xfad7 0xfb11 0xfb74 0xfbf5 
0xfa79 0xfa9d 0xfa5c 0xfa0d 0xf9f3 0xf9fe 0xfa59 0xfa63 0xfa4c 0xfa09 0xfa37 0xfa97 0xfab0 0xfaed 0xfb44 0xfba1 
0xfa6b 0xfaa4 0xfa46 0xf9b1 0xf975 0xf98d 0xf9c7 0xfa00 0xfa24 0xfa2e 0xfa62 0xfa85 0xfad1 0xfb12 0xfb57 0xfbca 
0xfa3d 0xfa76 0xf9fe 0xf956 0xf905 0xf8ff 0xf90d 0xf94c 0xf9a0 0xf9d2 0xfa3b 0xfa4e 0xfa89 0xfaf5 0xfb6f 0xfb9b 
0xfa32 0xfa65 0xfa08 0xf969 0xf8b7 0xf8c4 0xf937 0xf920 0xf962 0xf9c9 0xfa30 0xfa7d 0xfabb 0xfb1d 0xfb71 0xfbb8 
0xf9f7 0xfa0d 0xf9f0 0xf949 0xf8f2 0xf8b5 0xf916 0xf960 0xf92c 0xf9b3 0xfa2f 0xfa77 0xfad7 0xfb18 0xfb80 0xfbdc 
0xfa11 0xf9ec 0xfa5f 0xf9ba 0xf931 0xf90d 0xf93e 0xf97b 0xf993 0xf9e2 0xfa21 0xfa92 0xfaff 0xfb61 0xfbbb 0xfc0a 
0xfa02 0xf9b6 0xfa33 0xfa2a 0xf9b0 0xf9c2 0xf93f 0xf96e 0xf9b8 0xf9ca 0xfa27 0xfab7 0xfafa 0xfb71 0xfbd5 0xfc32 
0xfa40 0xf9ec 0xfa01 0xfa5c 0xfa7a 0xfa28 0xf9f2 0xf9cf 0xf9e4 0xfa16 0xfa9f 0xfb06 0xfb49 0xfb9f 0xfc14 0xfc71 
0xfa80 0xf9f5 0xf9d0 0xfa6e 0xfa9b 0xfa75 0xfa66 0xfa67 0xfa4a 0xfa84 0xfae7 0xfb35 0xfb69 0xfbdb 0xfc32 0xfcef 
0xfb7f 0xfa30 0xfa00 0xf9dc 0xfa89 0xfa94 0xfaa4 0xfa96 0xfab0 0xfaed 0xfb54 0xfb6c 0xfbc2 0xfc08 0xfca1 0xfd81 
0x4e72 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd1e 0xf554 0x1cbe 0xd781 0xfff0 0xfff6 0x0000 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0684 0x1a11 0x1a11 0x1a11 0x1a11 0x1a11 0x1a11 0x1a11 0xfd18 0xcbf7 0xce5a 0xd70f 0xfff3 0xfff0 0x0001 0x0003 
