1728238379
0xfc19 0xfb7c 0xfb27 0xfae3 0xfa82 0xfa2a 0xfa14 0xf9f8 0xf9e7 0xfa17 0xfa53 0xfab6 0xfaf3 0xfb34 0xfbd7 0xfd3c 
0xfbd6 0xfb6b 0xfb00 0xfa8f 0xfa37 0xf9cf 0xf9bc 0xf96a 0xf97c 0xf9a9 0xf9fa 0xfa4d 0xfaa5 0xfb00 0xfb77 0xfc51 
0xfb8d 0xfafb 0xfa73 0xfa20 0xf98c 0xf93a 0xf920 0xf8f2 0xf8d8 0xf914 0xf962 0xf9c4 0xfa32 0xfa95 0xfb1e 0xfb9d 
0xfb5c 0xfad3 0xfa58 0xf9d2 0xf95f 0xf8e7 0xf8cc 0xf897 0xf88b 0xf8c9 0xf917 0xf989 0xf9e1 0xfa8f 0xfb05 0xfb98 
0xfb1f 0xfa8b 0xfa0d 0xf976 0xf8ee 0xf888 0xf858 0xf854 0xf835 0xf863 0xf8c6 0xf92e 0xf9a1 0xfa3a 0xfaca 0xfb5c 
0xfb24 0xfa82 0xfa02 0xf96e 0xf8e3 0xf88d 0xf851 0xf82a 0xf836 0xf840 0xf8c3 0xf919 0xf995 0xfa29 0xfabe 0xfb5b 
0xfaf2 0xfa60 0xf9e2 0xf96f 0xf8d4 0xf864 0xf836 0xf806 0xf803 0xf831 0xf8bf 0xf913 0xf977 0xfa10 0xfaae 0xfb4e 
0xfb12 0xfa7c 0xfa13 0xf998 0xf90d 0xf89a 0xf86a 0xf861 0xf850 0xf87d 0xf902 0xf948 0xf9a0 0xfa43 0xfaf9 0xfb74 
0xfb08 0xfa8c 0xfa11 0xf99b 0xf907 0xf893 0xf88b 0xf865 0xf85b 0xf8b5 0xf8f5 0xf966 0xf9cc 0xfa50 0xfaf7 0xfb88 
0xfb4e 0xfacc 0xfa61 0xf9f3 0xf986 0xf91f 0xf901 0xf8da 0xf8d2 0xf90e 0xf96d 0xf9cb 0xfa2f 0xfab1 0xfb5c 0xfbc9 
0xfb47 0xfae0 0xfa81 0xfa24 0xf9d1 0xf966 0xf965 0xf940 0xf939 0xf948 0xf9b6 0xf9f8 0xfa76 0xfadd 0xfb6a 0xfc09 
0xfb7d 0xfb03 0xfad5 0xfa5b 0xfa10 0xf9d0 0xf9d1 0xf995 0xf9bd 0xf9b7 0xfa2d 0xfa71 0xfae0 0xfb44 0xfbe1 0xfcd8 
0x51c0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd89 0xf596 0x1e14 0xd764 0xfff4 0xfff4 0x0002 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05e0 0x1782 0x1782 0x1782 0x1782 0x1782 0x1782 0x1782 0xfd87 0xcce3 0xcedc 0xd7ec 0xfff5 0xfff4 0x0005 0x0007 
