1728238379
0xfbd5 0xfb55 0xfaf1 0xfabd 0xfa48 0xfa0a 0xf9d5 0xf9d1 0xf9c6 0xf9d9 0xfa1d 0xfa57 0xfaa8 0xfaf3 0xfc23 0xfd18 
0xfba0 0xfb37 0xfac8 0xfa63 0xf9e0 0xf997 0xf97b 0xf95b 0xf944 0xf962 0xf9b6 0xfa06 0xfa54 0xfad5 0xfc03 0xfce9 
0xfb3c 0xfac2 0xfa68 0xfa0a 0xf96b 0xf911 0xf8e7 0xf8d4 0xf8cc 0xf902 0xf94f 0xf9a8 0xf9f4 0xfa7b 0xfbca 0xfccd 
0xfb3e 0xfab8 0xfa40 0xf9d6 0xf927 0xf8bd 0xf8ac 0xf893 0xf88f 0xf8ad 0xf90c 0xf982 0xf9d8 0xfa69 0xfbd8 0xfcb8 
0xfb09 0xfa6e 0xfa04 0xf985 0xf8e9 0xf893 0xf85a 0xf84a 0xf82f 0xf86f 0xf8c3 0xf92c 0xf9ad 0xfa0f 0xfbac 0xfcbf 
0xfaf5 0xfa6f 0xf9eb 0xf96f 0xf8d4 0xf880 0xf85b 0xf845 0xf827 0xf86f 0xf8e6 0xf935 0xf99d 0xfa5e 0xfbe6 0xfce6 
0xfaeb 0xfa51 0xf9db 0xf956 0xf8c8 0xf859 0xf82f 0xf824 0xf83a 0xf86f 0xf8e5 0xf92d 0xf9a0 0xfa3c 0xfc0e 0xfd1d 
0xfb03 0xfa74 0xf9fd 0xf97f 0xf8fd 0xf89e 0xf87d 0xf867 0xf861 0xf897 0xf8e8 0xf948 0xf9d8 0xfa77 0xfc64 0xfd3a 
0xfb16 0xfa86 0xfa1a 0xf9b3 0xf91f 0xf8d0 0xf8ba 0xf89a 0xf8a4 0xf8c5 0xf94e 0xf99b 0xfa19 0xfadf 0xfca6 0xfd50 
0xfb3c 0xfac8 0xfa66 0xfa0c 0xf980 0xf950 0xf927 0xf910 0xf917 0xf94d 0xf9b5 0xfa35 0xfa7a 0xfb69 0xfcff 0xfd80 
0xfb66 0xfaf3 0xfa9a 0xfa45 0xf9e4 0xf994 0xf976 0xf95e 0xf966 0xf9ac 0xfa48 0xfa5d 0xfab8 0xfbee 0xfd1e 0xfd84 
0xfc23 0xfb19 0xfaee 0xfa81 0xfa3d 0xf9f6 0xf9e4 0xf9e2 0xf9ea 0xfa37 0xfa87 0xfabc 0xfb11 0xfc7e 0xfd57 0xfdc9 
0x51ee 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd43 0xf597 0x1f71 0xd94d 0xfff9 0xfff8 0x0005 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a2 0x168a 0x168a 0x168a 0x168a 0x1689 0x1689 0x1689 0xfd41 0xce20 0xd0ed 0xd8ed 0xfffa 0xfff6 0x0004 0x0006 
