1728238379
0xfbdb 0xfbb5 0xfbc6 0xfb9b 0xfb3a 0xfaed 0xfad3 0xfaaf 0xfa98 0xfa79 0xfa8b 0xfabf 0xfaee 0xfb39 0xfbc9 0xfc81 
0xfbab 0xfb84 0xfb64 0xfb43 0xfb14 0xfad9 0xfa98 0xfa85 0xfa63 0xfa5f 0xfa6d 0xfa88 0xfad1 0xfb36 0xfbc0 0xfc33 
0xfb4c 0xfb17 0xfaff 0xfac8 0xfabc 0xfa73 0xfa77 0xfa3e 0xfa1a 0xfa0f 0xfa34 0xfa63 0xfa89 0xfad3 0xfb95 0xfc0c 
0xfb59 0xfaee 0xfaeb 0xfaa8 0xfa64 0xfa43 0xfa48 0xfa34 0xfa28 0xfa16 0xfa67 0xfa62 0xfa81 0xfae5 0xfb88 0xfc27 
0xfb32 0xfac4 0xfa9a 0xfa96 0xfa18 0xf9cd 0xf9eb 0xf9f3 0xf9fe 0xfa08 0xfa1d 0xfa3e 0xfa4e 0xfaa6 0xfb6e 0xfbfb 
0xfb58 0xfaef 0xfa8f 0xfa50 0xf9da 0xf9e7 0xf9ee 0xf9ce 0xf9ee 0xfa19 0xfa48 0xfa6b 0xfaa7 0xfadb 0xfb41 0xfbf5 
0xfb57 0xfb06 0xfaa7 0xfa2e 0xf9f1 0xf9c2 0xf9b1 0xf9cd 0xf9ba 0xf9f6 0xfa5f 0xfa7e 0xfabf 0xfb06 0xfb4e 0xfbce 
0xfb38 0xfb3a 0xfb06 0xfab9 0xfa3b 0xfa19 0xfa0b 0xf9d0 0xf9d5 0xfa22 0xfa78 0xfa9a 0xfabf 0xfb5b 0xfbd6 0xfc3a 
0xfac0 0xfb22 0xfadd 0xfab8 0xfa6b 0xfa87 0xfa16 0xfa0b 0xf9fc 0xfa2c 0xfa79 0xfabc 0xfae3 0xfb6d 0xfbe0 0xfc5f 
0xfaad 0xfaca 0xfafa 0xfac2 0xfaa3 0xfa80 0xfa69 0xfa5c 0xfa55 0xfa7b 0xfac7 0xfb0d 0xfb3b 0xfba0 0xfc18 0xfc5d 
0xfac1 0xfa47 0xfa61 0xfab0 0xfa8d 0xfa51 0xfa5f 0xfa6f 0xfa66 0xfa9e 0xfb02 0xfb50 0xfb7a 0xfbd9 0xfbfd 0xfcb0 
0xfba4 0xfa5b 0xfa2f 0xf9fd 0xfa60 0xfa65 0xfa8b 0xfa8d 0xfab2 0xfaf1 0xfb5e 0xfb76 0xfbab 0xfb89 0xfc1d 0xfd7b 
0x4e90 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd2a 0xf556 0x1cca 0xd780 0xfff1 0xfff4 0x0000 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0682 0x1a08 0x1a08 0x1a08 0x1a08 0x1a07 0x1a07 0x1a07 0xfd28 0xcbf3 0xce5a 0xd70f 0xfff3 0xfff1 0x0001 0x0000 
