1728238439
0xfc22 0xfb88 0xfb33 0xfaf1 0xfa94 0xfa3b 0xfa25 0xfa0c 0xf9f9 0xfa28 0xfa67 0xfac7 0xfb03 0xfb45 0xfbde 0xfd40 
0xfbe2 0xfb78 0xfb10 0xfaa0 0xfa4a 0xf9e4 0xf9d0 0xf981 0xf994 0xf9bb 0xfa10 0xfa5e 0xfab8 0xfb0d 0xfb84 0xfc58 
0xfb99 0xfb0d 0xfa83 0xfa31 0xf9a2 0xf951 0xf935 0xf906 0xf8f1 0xf92a 0xf977 0xf9d8 0xfa44 0xfaa2 0xfb2c 0xfbab 
0xfb6a 0xfae5 0xfa6b 0xf9e7 0xf976 0xf8fc 0xf8e4 0xf8ae 0xf8a5 0xf8e1 0xf92c 0xf9a1 0xf9f6 0xfaa2 0xfb14 0xfba4 
0xfb30 0xfa9c 0xfa1f 0xf98c 0xf904 0xf8a0 0xf872 0xf86e 0xf851 0xf87b 0xf8dd 0xf946 0xf9b8 0xfa4f 0xfad7 0xfb6b 
0xfb33 0xfa8f 0xfa14 0xf982 0xf8f7 0xf8a5 0xf86c 0xf845 0xf84f 0xf85b 0xf8dc 0xf931 0xf9a9 0xfa3d 0xfad1 0xfb68 
0xfb01 0xfa70 0xf9f5 0xf986 0xf8ee 0xf87e 0xf851 0xf820 0xf81f 0xf84b 0xf8d4 0xf92c 0xf98b 0xfa25 0xfabc 0xfb5a 
0xfb21 0xfa92 0xfa26 0xf9ac 0xf921 0xf8b2 0xf884 0xf87f 0xf86a 0xf896 0xf91b 0xf95e 0xf9b3 0xfa52 0xfb07 0xfb86 
0xfb17 0xfa9b 0xfa24 0xf9af 0xf91c 0xf8ad 0xf8a4 0xf881 0xf875 0xf8cf 0xf90c 0xf97a 0xf9e1 0xfa60 0xfb05 0xfb96 
0xfb5d 0xfadb 0xfa6e 0xfa08 0xf99b 0xf937 0xf91a 0xf8f3 0xf8e9 0xf923 0xf984 0xf9dd 0xfa42 0xfac1 0xfb6a 0xfbd5 
0xfb53 0xfaef 0xfa90 0xfa36 0xf9e3 0xf97d 0xf97a 0xf958 0xf94f 0xf95c 0xf9cb 0xfa0a 0xfa86 0xfaeb 0xfb77 0xfc16 
0xfb89 0xfb13 0xfae3 0xfa6a 0xfa22 0xf9e3 0xf9e5 0xf9a6 0xf9ce 0xf9cb 0xfa40 0xfa80 0xfaed 0xfb50 0xfbea 0xfcdf 
0x5209 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8a 0xf59b 0x1e34 0xd766 0xfff3 0xfff5 0x0003 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05d9 0x1765 0x1765 0x1765 0x1765 0x1763 0x1763 0x1763 0xfd88 0xcce2 0xcedb 0xd7ee 0xfff7 0xfff2 0x0003 0x0007 
