1728238469
0xfc73 0xfafc 0xfab1 0xf948 0xf89f 0xf837 0xf80d 0xf7cc 0xf7e9 0xf7e8 0xf850 0xf8a0 0xf918 0xf98e 0xfa53 0xfae5 
0xfb9c 0xfad8 0xfa6d 0xf8f6 0xf812 0xf785 0xf74c 0xf716 0xf6ff 0xf74e 0xf7d4 0xf824 0xf8b8 0xf92d 0xf9eb 0xfa86 
0xfb3d 0xfa7a 0xfa0d 0xf8ad 0xf770 0xf6e6 0xf686 0xf679 0xf658 0xf691 0xf708 0xf791 0xf80a 0xf8b6 0xf99e 0xfa36 
0xfb57 0xfa96 0xf9e5 0xf88f 0xf6f1 0xf65e 0xf60a 0xf5df 0xf5d4 0xf619 0xf6aa 0xf722 0xf7a7 0xf84d 0xf949 0xfa03 
0xfb3e 0xfaad 0xf9ed 0xf877 0xf68f 0xf5ec 0xf5a4 0xf595 0xf572 0xf5cc 0xf645 0xf6be 0xf737 0xf806 0xf908 0xf9cf 
0xfb30 0xfae0 0xfa59 0xf8cf 0xf677 0xf5d7 0xf5aa 0xf55d 0xf54b 0xf5a2 0xf623 0xf682 0xf72f 0xf7f6 0xf8ed 0xf9ea 
0xfb2a 0xfab8 0xfa8c 0xf952 0xf680 0xf5aa 0xf57d 0xf56e 0xf525 0xf56a 0xf5e3 0xf67e 0xf731 0xf7e4 0xf905 0xf9bb 
0xfb54 0xfb08 0xfada 0xf9e3 0xf704 0xf60b 0xf601 0xf5a3 0xf57c 0xf5cf 0xf646 0xf6c1 0xf755 0xf826 0xf90c 0xf9fe 
0xfb66 0xfb29 0xfae5 0xfa44 0xf7bd 0xf639 0xf5e3 0xf5e3 0xf5f8 0xf5ee 0xf66f 0xf72c 0xf7a2 0xf843 0xf960 0xfa11 
0xfba9 0xfb6e 0xfb19 0xfa86 0xf889 0xf6d6 0xf6c6 0xf663 0xf693 0xf67e 0xf704 0xf7a8 0xf81c 0xf8d2 0xf9b5 0xfa79 
0xfbaa 0xfb54 0xfb32 0xfac7 0xf954 0xf751 0xf74d 0xf6fc 0xf703 0xf721 0xf77c 0xf7f6 0xf8ab 0xf932 0xf9fd 0xfaac 
0xfc0f 0xfb4b 0xfb42 0xfabf 0xf9c7 0xf7d4 0xf7cb 0xf7a9 0xf79d 0xf7d1 0xf856 0xf8a6 0xf928 0xf9b3 0xfa63 0xfafd 
0x4cb2 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd16 0xf4e0 0x1d19 0xd7da 0xffe8 0xffee 0x0001 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x068a 0x1a2a 0x1a2a 0x1a2a 0x1a2a 0x1a29 0x1a29 0x1a29 0xfd10 0xccb3 0xcf36 0xd719 0xffe8 0xffea 0x0004 0x0002 
