1728238499
0xfc09 0xfa4b 0xf9e7 0xf94a 0xf8be 0xf857 0xf82e 0xf7f4 0xf80e 0xf80f 0xf871 0xf8c3 0xf939 0xf9a9 0xfa68 0xfaf8 
0xfafb 0xf9f5 0xf961 0xf8c6 0xf831 0xf7aa 0xf772 0xf73f 0xf72a 0xf776 0xf7f9 0xf849 0xf8d9 0xf94a 0xfa06 0xfa9c 
0xfad8 0xf974 0xf8de 0xf832 0xf797 0xf70c 0xf6ad 0xf6a7 0xf687 0xf6be 0xf734 0xf7b6 0xf830 0xf8d9 0xf9b9 0xfa4d 
0xfae9 0xf964 0xf894 0xf7de 0xf716 0xf687 0xf636 0xf612 0xf604 0xf64a 0xf6d5 0xf747 0xf7cf 0xf871 0xf964 0xfa1d 
0xfafb 0xf971 0xf837 0xf77c 0xf6b6 0xf61a 0xf5d4 0xf5c4 0xf5a2 0xf5fc 0xf672 0xf6e7 0xf75e 0xf82a 0xf923 0xf9e8 
0xfb48 0xfa40 0xf847 0xf760 0xf68f 0xf605 0xf5db 0xf58e 0xf57f 0xf5d0 0xf651 0xf6af 0xf757 0xf81c 0xf90a 0xfa05 
0xfb5c 0xfabb 0xf8e2 0xf743 0xf675 0xf5d7 0xf5ac 0xf5a0 0xf556 0xf59c 0xf613 0xf6aa 0xf75d 0xf807 0xf922 0xf9d9 
0xfb90 0xfb20 0xfa2f 0xf797 0xf6b2 0xf634 0xf62f 0xf5d3 0xf5ae 0xf5fd 0xf672 0xf6ee 0xf77d 0xf84a 0xf92a 0xfa14 
0xfba3 0xfb30 0xfaaf 0xf8c3 0xf704 0xf663 0xf611 0xf612 0xf628 0xf61f 0xf69f 0xf753 0xf7c9 0xf865 0xf97b 0xfa29 
0xfbc1 0xfb72 0xfb04 0xfa08 0xf7a4 0xf6fc 0xf6ef 0xf68f 0xf6bf 0xf6ae 0xf72c 0xf7cd 0xf841 0xf8f0 0xf9cb 0xfa8c 
0xfbaf 0xfb62 0xfb34 0xfaba 0xf906 0xf776 0xf775 0xf726 0xf72b 0xf749 0xf7a4 0xf817 0xf8cb 0xf955 0xfa16 0xfac3 
0xfc19 0xfb65 0xfb54 0xfad2 0xfa1b 0xf83a 0xf7ef 0xf7cf 0xf7c2 0xf7f6 0xf874 0xf8c9 0xf947 0xf9ce 0xfa7a 0xfb11 
0x4d32 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd15 0xf4e4 0x1d4b 0xd7db 0xffe9 0xffed 0x0002 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x067e 0x19f9 0x19f9 0x19f9 0x19f9 0x19f8 0x19f8 0x19f8 0xfd10 0xccae 0xcf36 0xd717 0xffeb 0xffe9 0x0002 0x0004 
