1728238499
0xfb1c 0xfa9e 0xfa67 0xfa55 0xfa7b 0xfa63 0xfab1 0xfaa3 0xfae0 0xfb3d 0xfb86 0xfbc8 0xfbdb 0xfc06 0xfc80 0xfcf6 
0xfaf0 0xfa8c 0xfa4c 0xfa87 0xfa2e 0xfa1d 0xfa3a 0xfaab 0xfaad 0xfb32 0xfb60 0xfb89 0xfbc8 0xfc0d 0xfc6e 0xfccd 
0xfa95 0xfa35 0xfa4b 0xfa4d 0xfa02 0xf99e 0xf9c7 0xfa4e 0xfaaa 0xfadd 0xfb0e 0xfb59 0xfb7a 0xfbd0 0xfc4d 0xfca0 
0xfa87 0xfa17 0xfaa5 0xfa94 0xfa03 0xf9b1 0xf9aa 0xf9c1 0xfa59 0xfaa4 0xfb15 0xfb45 0xfb99 0xfbeb 0xfc48 0xfcae 
0xfa62 0xf9f5 0xfa88 0xfac6 0xfa36 0xf9bd 0xf963 0xf94f 0xf980 0xf97d 0xf9dc 0xfa4d 0xfaea 0xfb6b 0xfc0a 0xfc82 
0xfa65 0xfa19 0xfa98 0xfad0 0xfa7f 0xfa1c 0xf9da 0xf9ad 0xf98f 0xf9df 0xfa4b 0xfac7 0xfb54 0xfbc8 0xfc2b 0xfc8d 
0xfa3d 0xf9fe 0xfa8a 0xfaa7 0xfa8c 0xfa2c 0xf9e1 0xfa3c 0xfa0a 0xfa52 0xfaa8 0xfb0f 0xfb79 0xfbd5 0xfc38 0xfca1 
0xfa69 0xfa32 0xfaf2 0xfaf8 0xfa97 0xfa79 0xf9f2 0xfa4a 0xfa60 0xfa98 0xfafb 0xfb49 0xfba3 0xfbfe 0xfc63 0xfcb9 
0xfa63 0xfa35 0xfb04 0xfb16 0xfabd 0xfad8 0xfa3c 0xfa5e 0xfa73 0xfaac 0xfaf6 0xfb64 0xfb9b 0xfc02 0xfc60 0xfccf 
0xfaaa 0xfa76 0xfb0c 0xfb30 0xfb1c 0xfae6 0xfaa9 0xfabd 0xfab5 0xfaee 0xfb46 0xfba3 0xfbe9 0xfc2c 0xfc96 0xfcfd 
0xfae2 0xfa70 0xfab3 0xfb31 0xfb16 0xfaf8 0xfae1 0xfaff 0xfacc 0xfb17 0xfb7d 0xfbc5 0xfc05 0xfc5f 0xfcb1 0xfd56 
0xfbcc 0xfa9d 0xfa92 0xfaf7 0xfb22 0xfb1d 0xfb49 0xfb38 0xfb2d 0xfb49 0xfbc6 0xfbd1 0xfc43 0xfc8b 0xfd15 0xfdc5 
0x4f42 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd60 0xf55e 0x1d11 0xd781 0xfff6 0xfff4 0x0000 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0671 0x19c4 0x19c4 0x19c4 0x19c4 0x19c3 0x19c3 0x19c3 0xfd5c 0xcbed 0xce58 0xd70d 0xfff6 0xfff2 0x0002 0x0002 
