1728238529
0xfc1a 0xfa63 0xfa03 0xf969 0xf8e0 0xf87d 0xf859 0xf81b 0xf839 0xf83c 0xf89b 0xf8e8 0xf95c 0xf9c9 0xfa82 0xfb0e 
0xfae5 0xfa15 0xf981 0xf8ed 0xf85c 0xf7d8 0xf79c 0xf76d 0xf75a 0xf7a5 0xf822 0xf873 0xf8ff 0xf96c 0xfa23 0xfab6 
0xfa59 0xf990 0xf900 0xf859 0xf7c1 0xf73b 0xf6df 0xf6d7 0xf6bb 0xf6f2 0xf760 0xf7e4 0xf859 0xf8fb 0xf9d9 0xfa69 
0xfa31 0xf95c 0xf8b7 0xf804 0xf747 0xf6bc 0xf66b 0xf646 0xf63e 0xf67e 0xf709 0xf778 0xf7fd 0xf898 0xf987 0xfa39 
0xfa1a 0xf8f4 0xf858 0xf7a6 0xf6e7 0xf64e 0xf608 0xf5fc 0xf5db 0xf634 0xf6a6 0xf71a 0xf78b 0xf853 0xf948 0xfa08 
0xfae3 0xf95b 0xf84d 0xf78b 0xf6c3 0xf63c 0xf60f 0xf5c5 0xf5ba 0xf60b 0xf685 0xf6e1 0xf786 0xf843 0xf92f 0xfa23 
0xfb73 0xfaa1 0xf8b9 0xf76f 0xf6ac 0xf612 0xf5e5 0xf5d5 0xf594 0xf5d7 0xf648 0xf6db 0xf78b 0xf833 0xf945 0xf9f6 
0xfbb4 0xfb47 0xfaa1 0xf860 0xf6e9 0xf670 0xf668 0xf60c 0xf5ea 0xf637 0xf6a7 0xf71e 0xf7ad 0xf871 0xf94a 0xfa32 
0xfbba 0xfb67 0xfb0a 0xfa45 0xf81f 0xf6a1 0xf649 0xf64a 0xf662 0xf655 0xf6d2 0xf783 0xf7f4 0xf88d 0xf99b 0xfa45 
0xfbd9 0xfb88 0xfb5e 0xfae9 0xfa11 0xf826 0xf72a 0xf6c5 0xf6f5 0xf6e0 0xf75d 0xf7f7 0xf86b 0xf915 0xf9e5 0xfa9f 
0xfbd7 0xfb7e 0xfb7a 0xfb3a 0xfadb 0xfa1f 0xf8b3 0xf75f 0xf75d 0xf77c 0xf7cd 0xf83f 0xf8ee 0xf978 0xfa38 0xfadc 
0xfc39 0xfb91 0xfb87 0xfb2a 0xfaf6 0xfabf 0xfa79 0xf91e 0xf7f8 0xf824 0xf896 0xf8f1 0xf969 0xf9ee 0xfa94 0xfb27 
0x4dac 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd1e 0xf4ea 0x1d7d 0xd7dd 0xffea 0xffef 0x0002 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0672 0x19ca 0x19ca 0x19ca 0x19ca 0x19c8 0x19c8 0x19c8 0xfd19 0xccaa 0xcf37 0xd719 0xffed 0xffed 0x0002 0x0003 
