1728238559
0xfc3a 0xfba4 0xfb54 0xfb10 0xfab5 0xfa67 0xfa4d 0xfa31 0xfa22 0xfa4f 0xfa8b 0xfae5 0xfb24 0xfb60 0xfbfb 0xfd50 
0xfbfd 0xfb95 0xfb31 0xfac2 0xfa71 0xfa0d 0xf9f9 0xf9ae 0xf9bf 0xf9e8 0xfa36 0xfa85 0xfad9 0xfb30 0xfb9f 0xfc7b 
0xfbb5 0xfb2b 0xfaa8 0xfa5c 0xf9cd 0xf97d 0xf966 0xf938 0xf920 0xf95b 0xf9a5 0xfa01 0xfa6b 0xfaca 0xfb4d 0xfbde 
0xfb87 0xfb05 0xfa91 0xfa0e 0xf9a2 0xf92f 0xf917 0xf8e1 0xf8d9 0xf912 0xf95e 0xf9cb 0xfa20 0xfac4 0xfb36 0xfbe1 
0xfb50 0xfac1 0xfa48 0xf9ba 0xf935 0xf8d4 0xf8a8 0xf8a2 0xf887 0xf8af 0xf90f 0xf975 0xf9e2 0xfa77 0xfaf9 0xfbbb 
0xfb54 0xfab6 0xfa3c 0xf9ae 0xf92d 0xf8d8 0xf8a2 0xf87a 0xf887 0xf891 0xf90f 0xf962 0xf9d5 0xfa65 0xfaf4 0xfbd1 
0xfb22 0xfa95 0xfa1b 0xf9b2 0xf91f 0xf8b3 0xf887 0xf858 0xf854 0xf882 0xf907 0xf95c 0xf9bc 0xfa50 0xfae4 0xfbe7 
0xfb3f 0xfab4 0xfa50 0xf9d8 0xf951 0xf8e6 0xf8b9 0xf8b2 0xf89f 0xf8cd 0xf94a 0xf98d 0xf9de 0xfa7c 0xfb30 0xfc3b 
0xfb35 0xfabe 0xfa4a 0xf9db 0xf94e 0xf8e1 0xf8d6 0xf8b6 0xf8aa 0xf903 0xf93d 0xf9a6 0xfa0c 0xfa89 0xfb30 0xfc88 
0xfb78 0xfafe 0xfa95 0xfa2e 0xf9c6 0xf964 0xf949 0xf925 0xf918 0xf956 0xf9b2 0xfa09 0xfa68 0xfae5 0xfbb0 0xfcee 
0xfb6e 0xfb0e 0xfab3 0xfa59 0xfa0b 0xf9a6 0xf9a5 0xf986 0xf97d 0xf989 0xf9f4 0xfa34 0xfaaa 0xfb12 0xfbfa 0xfd2a 
0xfba2 0xfb2e 0xfb01 0xfa8e 0xfa47 0xfa0b 0xfa0b 0xf9ce 0xf9f8 0xf9f3 0xfa65 0xfaaf 0xfb0f 0xfb78 0xfcc1 0xfd71 
0x5293 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9c 0xf5a1 0x1e6e 0xd769 0xfff6 0xfff5 0x0004 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05cb 0x172f 0x172f 0x172f 0x172f 0x172e 0x172e 0x172e 0xfd99 0xccdf 0xcedb 0xd7ef 0xfff5 0xfff4 0x0005 0x0006 
